id,lat,long
549748,64.2229,41.655998
1047660,-14.80306,36.53722
3571913,26.541241,-77.063599
5509403,36.19886,-115.1175
3093040,51.12014,15.28768
2033147,45.683331,125.316673
2125906,62.549999,155.550003
4036284,-19.059521,-169.918671
1718042,13.8777,122.661499
597769,55.985001,22.91889
2229752,4.6363,9.4469
5213681,40.7934,-77.860001
556268,68.053062,39.513062
1276371,25.049999,83.616669
893485,-21.049999,31.66667
4286717,37.343399,-85.341911
505820,62.848701,34.82621
2033225,48,122.716667
1271685,29.91667,73.883331
3352263,-28.450001,18.73333
3836772,-24.23127,-64.866142
5416005,38.440979,-105.242447
5051640,44.8508,-93.786911
493160,52.71806,58.665829
241131,-4.61667,55.450001
5386035,33.744461,-118.387016
2313002,-5.81667,13.45
4031637,65.583328,-171
2965402,51.623058,-8.87056
1008858,-31.372,27.04878
153176,-6.36546,31.040911
967106,-33.590672,22.201401
1494790,57.788609,82.651939
1276328,17.66667,80.883331
3893629,-29.953329,-71.343613
1277844,23.316669,88.650002
5991080,46.43343,-63.648708
4984075,45.06168,-83.432747
5820705,42.866631,-106.31308
2208655,32.94701,11.86647
2121385,50.67889,156.125
162158,38.436241,57.43158
2126018,51.466671,140.783325
924732,-11.60659,34.29073
5994763,46.28339,-74.732552
5525042,33.587318,-102.37796
2017155,71.916672,114.083328
483019,59.645111,33.529369
2172517,-35.283459,149.128067
5847411,20.89472,-156.470001
1490796,60.733299,77.588898
2737599,41.34034,-6.71187
2013406,56.408798,103.110603
157247,-5.88333,35.23333
5895424,47.599892,-53.264778
3198140,45.350281,19.728609
2025241,62.002499,132.432495
1268990,22.450001,86.98333
5917262,49.633339,-102.267647
1809498,25.28194,110.286392
2978758,49.116241,-1.09031
2517750,39.469601,3.14831
1493162,60.0625,71.478889
5024719,46.783272,-92.106583
521148,51.541901,38.3657
1611197,20.26125,100.40461
4723914,29.55718,-95.808563
730518,43.433331,28.33333
2845924,49.196388,12.51861
1152227,20.146749,99.852562
197745,-0.45355,39.64011
2156927,-29.466669,149.850006
1176048,24.353901,68.267059
210939,-5.35,21.41667
6057856,44.033459,-64.715477
2151187,-26.58333,148.783325
2018069,59.628891,112.740562
1625929,-2.08333,101.383331
331259,4.05,38.299999
3395497,-2.04278,-45.959171
6646308,22.17308,111.788589
1605483,16.936359,104.710388
1505991,67.466667,86.583328
3420846,60.716671,-46.033329
2367164,10.86389,0.205
3006787,46.166672,-1.15
2120612,57.799999,158.666672
1259385,11.66667,92.75
2362909,10.63333,-4.76667
3979982,21.133329,-102.849998
4548267,36.706982,-97.085587
2022143,53.19389,107.339722
3395162,-9.1175,-37.73222
1174451,24.14472,67.449722
632370,62.315331,27.872999
1270779,17.48415,73.192886
3152989,60.86293,8.55337
335943,8.15,35.533329
